"Rata?Rata Pengeluaran per Kapita Sebulan di Daerah Perdesaan Menurut Kelompok Barang dan Golongan Pengeluaran per Kapita Sebulan, 2013-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelompok Barang,2013,,,,,,,,,2014,,,,,,,,,2015,,,,,,,,,2016,,,,,,,,,2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,,,2020,,,,,,,,,2021,,,,,,,,,2022,,,,,,,,,2023,,,,,,,,,2024,,,,,,,,,2025,,,,,,,,
,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita
,Kurang dari 100 000,100 000- 149 999,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000 dan lebih,,Kurang dari 100 000,100 000- 149 999,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000 dan lebih,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,
Makanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padi-padian,29 722,43 372,47 289,52 588,59 869,70 880,77 894,77 337,62 449,25 714,39 146,46 376,53 929,62 374,72 999,77 956,78 774,66 376,35 364,46 338,55 830,68 305,76 896,86 921,93 386,107 680,75 260,"21,369","42,515","52,212","61,282","73,432","80,901","86,707","95,444","71,390","36,259","42,556","51,740","60,550","67,505","75,125","79,598","83,501","68,895","37,456","45,973","52,564","63,368","71,107","78,718","86,682","89,401","74,362","33,175","46,494","53,600","61,655","69,081","74,696","81,712","85,241","72,142","42,740","48,844","56,546","63,468","70,720","74,713","81,497","87,686","74,107",,"51,384","57,554","63,194","71,049","74,476","83,412","93,801","76,008","33,627","51,170","55,400","60,915","70,077","73,399","83,122","100,276","77,167","51,800","51,784","53,812","63,750","77,160","82,745","94,088","113,230","87,969",,"52,136","63,430","75,174","87,649","95,595","109,822","132,202","103,512",,"49,620","58,756","75,503","86,843","89,871","99,119","115,701","96,924"
Umbi-umbian,3 302,3 226,3 596,3 010,3 598,4 111,5 157,6 505,3 886,18 214,3 858,3 835,3 172,3 877,4 471,5 985,8 619,4 570,8 884,4 678,3 503,4 009,5 017,5 971,7 545,11 177,5 135,"13,549","1,694","3,171","3,749","3,195","9,045","11,552","11,567","5,663","3,141","3,748","3,587","3,792","4,808","7,063","10,567","16,535","6,611","5,144","2,627","3,400","4,151","4,342","6,415","9,007","14,336","6,430","7,429","3,935","3,060","4,081","4,392","6,398","9,234","16,344","6,811","12,336","6,410","2,789","4,049","4,709","6,278","8,803","17,040","7,189","49,872","3,699","2,986","4,683","6,030","7,400","9,940","23,718","9,323","11,552","4,502","2,883","4,295","5,965","7,497","11,072","24,581","10,178","3,389","7,336","4,073","4,546","6,189","7,898","10,746","21,989","10,532",,"8,385","4,765","3,493","5,550","8,124","10,454","20,175","10,338",,"3,226","4,955","3,939","5,710","8,231","11,834","19,670","11,146"
Ikan,5 300,7 975,9 183,13 818,21 724,33 282,46 920,58 329,26 150,9 643,8 037,9 762,14 333,23 773,34 154,47 907,59 406,30 307,5 867,8 353,12 523,21 100,30 075,41 912,53 783,82 815,30 701,"10,944","7,668","11,711","18,019","29,613","40,912","52,776","77,118","31,313","3,778","8,939","11,825","19,393","32,375","44,290","58,362","83,559","37,402","7,621","8,907","12,048","18,872","31,058","43,916","56,783","82,640","39,246","8,647","9,159","12,918","19,229","31,062","44,160","57,720","83,335","40,898","5,167","11,503","13,679","19,264","29,733","43,340","56,710","83,698","42,156","12,765","9,151","13,144","19,772","30,992","45,993","63,626","93,355","47,505","10,743","9,082","14,308","20,647","31,049","47,111","64,995","100,266","51,512","6,824","8,645","14,360","20,036","29,784","45,099","63,464","99,480","53,679",,"11,512","15,879","19,762","29,022","43,260","61,281","95,221","53,822",,"14,040","15,086","20,270","30,165","44,172","62,718","97,214","57,426"
Daging,–,169,1 096,2 354,5 599,11 667,19 919,29 372,8 621,–,304,1 206,2 604,5 620,11 622,20 023,33 254,10 583,619,968,2 165,5 186,10 520,18 807,29 832,56 336,12 437,"2,194","1,288","2,481","5,292","10,638","17,979","29,321","52,337","13,774",197,"1,284","3,429","7,666","12,816","20,075","31,796","55,826","18,150","1,412","1,055","2,683","6,610","11,067","16,525","25,676","46,139","16,617","1,256","3,388","3,412","7,169","12,065","17,842","27,355","49,496","18,592","12,307","2,522","3,360","7,604","12,474","18,181","27,760","50,271","20,211","11,397","1,078","3,422","8,571","13,993","19,932","30,227","56,508","23,498",,873,"3,533","9,032","15,459","21,351","32,218","63,832","27,243",,"1,555","2,822","7,395","14,477","19,800","29,934","59,545","27,294",,"1,348","1,392","7,724","14,001","19,763","30,342","59,265","28,622",,78,"1,966","7,466","14,978","19,991","29,902","57,491","29,771"
Telur dan susu,263,1 451,3 159,5 834,10 517,18 207,28 216,41 766,14 168,–,2 194,2 810,5 697,10 748,18 574,28 086,41 150,16 310,1 472,3 171,5 538,10 425,17 263,26 901,39 533,71 768,19 042,"2,131","3,833","5,776","9,939","17,229","25,139","36,414","63,478","19,835","2,379","3,439","6,122","11,036","16,951","24,241","34,815","54,692","21,435","1,600","2,954","6,605","11,081","16,491","24,079","34,309","56,398","23,174","3,074","3,310","6,418","11,680","17,096","24,027","34,482","54,761","24,093","1,657","3,389","7,370","11,990","17,663","24,231","34,942","55,052","25,761",,"3,920","7,346","11,621","17,454","23,648","34,032","54,018","26,200","3,542","4,692","6,497","11,420","16,866","22,524","31,796","52,683","26,305",,"3,337","5,946","10,335","16,581","22,081","31,824","54,408","28,086",,149,"5,329","10,758","16,744","21,842","30,473","51,841","28,386",,"1,470","5,264","11,420","17,514","22,340","31,574","53,030","30,457"
Sayur-sayuran,6 430,10 302,13 943,19 764,27 790,36 332,45 149,51 450,29 985,–,10 635,12 854,18 290,25 912,33 598,41 409,48 399,29 957,8 486,10 381,14 910,21 215,27 201,35 325,42 647,57 018,27 277,"10,059","11,024","16,122","23,310","32,906","42,381","51,286","67,551","33,756","9,424","13,086","18,089","25,465","37,224","48,923","60,568","78,867","41,517","8,515","13,060","17,071","24,316","33,629","43,021","51,591","65,058","38,628","10,119","11,719","16,346","22,555","31,562","40,122","48,245","64,941","37,369","9,759","12,201","17,962","25,100","35,665","45,799","56,208","75,422","44,303","5,406","12,460","18,486","27,491","39,761","51,387","65,326","94,763","52,793","10,140","12,286","17,759","26,322","37,380","48,892","61,722","93,890","52,598","10,155","15,737","17,163","26,374","38,006","49,222","62,518","95,917","56,276",,"11,239","15,513","25,208","37,552","50,035","65,494","96,615","59,021",,"17,869","18,028","27,470","40,123","52,609","68,876","97,625","63,526"
Kacang-kacangan,1 303,2 569,3 791,5 733,8 112,9 951,11 159,12 576,8 268,–,3 202,4 075,6 018,8 131,10 911,12 676,13 844,9 381,2 001,3 066,5 182,7 173,9 329,11 889,14 608,18 392,9 238,453,"3,924","4,911","6,895","9,177","11,149","13,520","16,977","9,280","2,405","2,942","4,955","7,171","9,376","12,153","14,793","17,451","10,401","2,524","3,319","4,934","7,585","9,201","11,185","13,834","16,090","10,478","1,803","2,017","4,477","7,120","9,026","10,863","13,400","15,723","10,344",,"1,642","4,256","7,078","9,238","10,868","13,501","16,235","10,770",,"2,173","4,433","7,066","9,664","11,512","14,428","19,276","11,865",,"2,520","4,003","6,944","9,607","11,190","13,882","20,325","12,199",,"1,299","4,044","6,741","10,161","11,466","14,308","21,331","13,226",,170,"3,181","6,764","9,716","10,893","14,051","20,256","13,080",,879,"4,253","6,904","10,608","11,517","14,462","19,891","13,813"
Buah-buahan,1 931,2 374,3 249,5 149,8 931,15 933,25 214,38 802,12 528,–,1 715,3 003,5 499,9 500,16 520,26 847,43 139,15 366,1 756,2 818,4 530,8 572,13 745,22 684,33 985,63 504,15 933,"2,261","2,306","3,365","6,372","11,718","18,168","28,282","51,948","14,374","1,423","2,673","4,207","7,172","12,934","20,024","30,267","51,728","17,574","1,442","3,030","4,830","8,207","14,452","21,989","33,539","60,876","21,808","2,965","2,986","4,877","7,678","13,892","21,600","32,920","55,990","21,701","2,059","3,364","4,893","7,910","13,936","22,177","33,774","61,158","24,031",,"2,554","3,704","6,670","11,092","17,749","26,882","48,755","20,197","1,386","1,454","3,965","7,953","13,155","20,350","30,150","56,584","24,646",,"3,260","4,182","7,827","12,350","19,505","29,459","57,237","26,212",,"3,439","6,508","9,596","15,417","24,141","37,282","71,751","34,539",,"3,337","5,569","9,972","15,669","24,104","37,685","71,124","36,370"
Minyak dan lemak,2 505,4 077,5 577,8 035,10 748,13 383,16 264,18 655,11 376,3 214,5 116,5 612,7 910,11 812,14 567,17 329,19 267,12 972,4 880,5 683,8 477,11 646,13 646,17 078,20 226,26 005,13 837,"4,617","4,993","7,069","9,503","12,892","16,123","19,111","24,251","13,101","3,973","4,801","6,868","9,133","12,905","16,190","19,124","23,457","13,803","3,255","4,907","7,098","9,380","12,368","15,301","18,087","21,811","13,890","3,403","4,738","6,475","8,700","11,627","14,318","17,274","20,904","13,381","4,594","4,667","6,911","9,217","12,116","15,224","18,335","22,414","14,591",375,"5,081","7,109","9,882","12,964","16,582","20,489","26,300","16,539","7,096","5,473","7,768","11,132","15,110","21,301","26,965","36,291","21,824","12,504","5,081","7,384","10,387","13,196","17,319","21,780","30,557","19,213",,"5,363","6,957","10,109","12,916","16,458","20,554","28,356","18,710",,"5,691","7,710","10,955","14,319","18,274","23,253","30,891","21,337"
Bahan minuman,1 527,4 745,6 686,8 858,12 292,16 422,19 729,22 244,13 332,17 143,4 879,6 397,8 715,11 822,15 902,19 500,21 958,13 939,5 082,6 411,8 296,11 880,15 660,20 200,24 633,31 847,15 515,"4,310","6,012","8,473","11,572","15,954","19,976","24,673","31,764","16,348","4,567","6,793","8,777","11,990","15,696","19,787","24,258","31,346","17,421","4,065","6,451","9,071","12,818","15,621","19,031","22,778","28,766","17,815","4,713","6,812","8,512","12,043","15,152","18,015","21,780","27,851","17,383","5,523","6,679","8,749","12,109","15,968","19,287","23,514","30,464","19,042",899,"5,978","9,257","12,308","16,239","19,192","24,254","34,259","20,278","3,050","5,685","8,270","11,512","15,827","18,493","23,287","34,461","20,389","7,609","5,049","7,415","10,946","15,852","18,001","22,847","34,175","21,010",,"6,577","7,469","11,254","15,652","18,415","23,407","34,645","21,930",,"7,366","8,519","12,267","17,330","19,805","24,977","35,079","23,837"
Bumbu-bumbuan,1 466,1 983,2 693,4 218,5 971,7 818,9 721,11 477,6 454,3 214,2 260,2 804,4 063,6 125,8 242,10 366,11 874,7 209,2 143,2 883,4 164,6 346,8 237,10 728,13 626,21 285,8 433,"2,419","3,304","4,207","6,219","8,799","11,475","14,138","17,951","9,082","2,453","2,749","3,759","5,440","8,194","10,841","13,802","17,910","9,210","2,192","3,056","4,086","6,044","8,763","11,148","13,973","17,853","10,157","2,450","2,887","4,034","5,891","8,680","11,180","14,033","18,380","10,430","1,664","2,338","3,883","6,039","8,814","11,514","14,571","19,883","11,236","1,056","2,598","4,166","6,326","9,362","12,349","15,923","24,866","12,923","1,930","3,058","4,192","6,578","9,354","12,348","15,974","27,187","13,898","1,522","3,330","4,312","6,404","9,203","11,950","15,545","26,376","14,340",,"2,401","3,760","6,069","9,066","11,828","15,250","25,003","14,410",,"4,039","4,879","6,273","9,420","12,137","15,861","24,591","15,172"
